Province/Regency/City,,,
,[New Method] Life Expectancy at Birth (Year),,
Asmat,57.53,58.05,58.59
Yahukimo,65.8,65.93,66.05
Pegunungan Bintang,64.34,64.44,64.54
Tolikara,65.58,65.71,65.83
Sarmi,66.26,66.36,66.46
Keerom,66.6,66.69,66.78
Waropen,66.24,66.33,66.42
Supiori,65.81,65.94,66.06
Mamberamo Raya,57.55,57.77,58
Nduga,55.12,55.27,55.43
Lanny Jaya,66,66.06,66.11
Mamberamo Tengah,63.44,63.59,63.75
Yalimo,65.34,65.42,65.49
Puncak,65.61,65.74,65.86
Dogiyai,65.6,65.73,65.85
Intan Jaya,65.51,65.6,65.69
Deiyai,65.11,65.24,65.36
Kota Jayapura,70.38,70.45,70.52
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
INDONESIA,71.34,71.47,71.57
