Province/Regency/City,,,
,[New Method] Human Development Index,,
Bombana,66.81,67.43,68.15
Wakatobi,70.85,71.43,72.02
Kolaka Utara,70.39,71.04,71.7
Buton Utara,69,69.7,70.6
Konawe Utara,71.1,71.71,72.32
Kolaka Timur,68.73,69.57,70.27
Konawe Kepulauan,66.69,67.32,67.99
Muna Barat,66.21,67.13,68.06
Buton Tengah,65.29,65.83,66.47
Buton Selatan,65.44,66.15,67
Kota Kendari,84.51,84.85,85.33
Kota Baubau,76.67,77.52,78.13
GORONTALO,69.81,70.45,71.23
Boalemo,67.27,68.18,68.74
Gorontalo,68.28,69.09,69.66
Pohuwato,66.53,67.15,68.02
Bone Bolango,70.9,71.51,72.38
Gorontalo Utara,66.01,66.61,67.46
Kota Gorontalo,78.22,78.64,79.18
SULAWESI BARAT,66.92,67.55,68.2
Majene,67.84,68.62,69.42
Polewali Mandar,64.79,65.59,66.22
Mamasa,67.21,67.83,68.37
Mamuju,68.88,69.61,70.4
Mamuju Utara / Pasangkayu,68.61,69.11,69.73
Mamuju Tengah,66.89,67.45,68.36
MALUKU,70.22,70.94,71.57
Maluku Tenggara Barat / Kepulauan Tanimbar,63.45,64.16,64.83
Maluku Tenggara,66.88,67.57,68.24
Maluku Tengah,71.81,72.45,73.21
Buru,69.94,70.56,71.01
Kepulauan Aru,64.21,65.01,65.83
Seram Bagian Barat,66.67,67.56,68.39
Seram Bagian Timur,65.05,65.82,66.24
Maluku Barat Daya,63.07,63.93,64.86
Buru Selatan,65.37,66.23,67.09
Kota Ambon,81.63,82.06,82.56
Kota Tual,68.6,69.43,70.21
MALUKU UTARA,69.47,70.21,71.03
Halmahera Barat,66.2,66.91,67.53
Halmahera Tengah,66.49,67.48,68.45
Kepulauan Sula,64.7,65.29,65.99
Halmahera Selatan,65.06,65.83,66.66
Halmahera Utara,68.38,69.05,69.78
Halmahera Timur,67.93,68.82,69.58
Pulau Morotai,63.8,64.73,65.68
Pulau Taliabu,61.64,62.31,62.9
Kota Ternate,80.81,81.35,82.12
Kota Tidore Kepulauan,71.55,72.4,72.91
PAPUA BARAT,65.89,66.66,67.02
Fakfak,69.12,69.72,70.39
Kaimana,66.11,66.72,67.6
Teluk Wondama,60.87,61.67,62.36
Teluk Bintuni,65.27,66,66.75
Manokwari,72.6,73.21,73.83
Sorong Selatan,63.08,63.94,-
Sorong,66.69,67.49,-
Raja Ampat,64.65,65.26,-
Tambrauw,54.63,55.55,-
Maybrat,60.49,61.29,-
Manokwari Selatan,60.68,61.55,62.45
Pegunungan Arfak,57.01,57.82,58.73
Kota Sorong,78.98,79.65,-
PAPUA BARAT DAYA,-,-,68.63
Raja Ampat,-,-,65.86
Sorong,-,-,68.29
Sorong Selatan,-,-,64.5
Maybrat,-,-,61.83
Tambrauw,-,-,56.32
Kota Sorong,-,-,79.93
PAPUA,61.39,62.25,73
Merauke,71.24,72.19,-
Jayawijaya,59.6,60.5,-
Jayapura,72.67,73.5,74.11
Nabire,69.91,70.84,-
Kepulauan Yapen,68.41,69.11,69.65
Biak Numfor,72.85,73.46,73.98
Paniai,57.14,57.91,-
Puncak Jaya,49.84,50.81,-
Mimika,75.08,75.91,-
Boven Digoel,62.52,63.46,-
Mappi,59.61,60.57,-
Asmat,52.22,53.19,-
Yahukimo,50.25,51.19,-
Pegunungan Bintang,47.21,48.18,-
Tolikara,50.51,51.48,-
Sarmi,64.86,65.8,66.72
Keerom,67.24,68.08,68.68
Waropen,65.67,66.46,66.92
