"District","Time","Age","Cases","Population"
"KOTA CIREBON",2021,"15-44",37,163079
"KOTA CIREBON",2021,"45-99",10,93244
"KOTA CIREBON",2021,"5-14",43,52735
"KOTA CIREBON",2022,"0-4",28,28376
"KOTA CIREBON",2022,"15-44",93,164430
"KOTA CIREBON",2022,"45-99",26,95756
"KOTA CIREBON",2022,"5-14",126,52761
"KOTA CIREBON",2023,"0-4",37,28498
"KOTA CIREBON",2023,"15-44",75,165781
"KOTA CIREBON",2023,"45-99",18,98266
"KOTA CIREBON",2023,"5-14",97,52786
"KOTA DEPOK",2020,"0-4",214,168044
"KOTA DEPOK",2020,"15-44",469,1012757
"KOTA DEPOK",2020,"45-99",132,537971
"KOTA DEPOK",2020,"5-14",461,337563
"KOTA DEPOK",2021,"0-4",479,167281
"KOTA DEPOK",2021,"15-44",1191,1017804
"KOTA DEPOK",2021,"45-99",243,560143
"KOTA DEPOK",2021,"5-14",1242,341179
"KOTA DEPOK",2022,"0-4",285,166517
"KOTA DEPOK",2022,"15-44",954,1022854
"KOTA DEPOK",2022,"45-99",239,582315
"KOTA DEPOK",2022,"5-14",716,344794
"KOTA DEPOK",2023,"0-4",122,165754
"KOTA DEPOK",2023,"15-44",451,1027899
"KOTA DEPOK",2023,"45-99",137,604488
"KOTA DEPOK",2023,"5-14",321,348410
"KOTA SUKABUMI",2020,"0-4",72,30183
"KOTA SUKABUMI",2020,"15-44",291,166052
"KOTA SUKABUMI",2020,"45-99",126,93244
"KOTA SUKABUMI",2020,"5-14",162,56846
"KOTA SUKABUMI",2021,"0-4",72,30274
"KOTA SUKABUMI",2021,"15-44",197,167772
"KOTA SUKABUMI",2021,"45-99",57,95854
"KOTA SUKABUMI",2021,"5-14",124,56955
"KOTA SUKABUMI",2022,"0-4",155,30365
"KOTA SUKABUMI",2022,"15-44",420,169494
"KOTA SUKABUMI",2022,"45-99",130,98467
"KOTA SUKABUMI",2022,"5-14",316,57064
"KOTA SUKABUMI",2023,"0-4",32,30456
"KOTA SUKABUMI",2023,"15-44",185,171213
"KOTA SUKABUMI",2023,"45-99",91,101077
"KOTA SUKABUMI",2023,"5-14",107,57172
"KOTA TASIKMALAYA",2020,"0-4",251,60765
"KOTA TASIKMALAYA",2020,"15-44",568,342111
"KOTA TASIKMALAYA",2020,"45-99",197,195730
"KOTA TASIKMALAYA",2020,"5-14",393,117549
"KOTA TASIKMALAYA",2021,"0-4",244,60777
"KOTA TASIKMALAYA",2021,"15-44",261,344539
"KOTA TASIKMALAYA",2021,"45-99",79,201356
"KOTA TASIKMALAYA",2021,"5-14",325,117098
"KOTA TASIKMALAYA",2022,"0-4",364,60789
"KOTA TASIKMALAYA",2022,"15-44",653,346968
"KOTA TASIKMALAYA",2022,"45-99",169,206984
"KOTA TASIKMALAYA",2022,"5-14",649,116648
"KOTA TASIKMALAYA",2023,"0-4",69,60800
"KOTA TASIKMALAYA",2023,"15-44",123,349395
"KOTA TASIKMALAYA",2023,"45-99",35,212610
"KOTA TASIKMALAYA",2023,"5-14",126,116198
"KUNINGAN",2020,"0-4",7,95666
"KUNINGAN",2020,"15-44",222,536587
"KUNINGAN",2020,"45-99",74,353134
"KUNINGAN",2020,"5-14",59,182299
"KUNINGAN",2021,"0-4",47,95840
"KUNINGAN",2021,"15-44",273,543354
"KUNINGAN",2021,"45-99",110,361299
"KUNINGAN",2021,"5-14",114,181570
"KUNINGAN",2022,"0-4",121,96014
"KUNINGAN",2022,"15-44",719,550122
"KUNINGAN",2022,"45-99",351,369463
"KUNINGAN",2022,"5-14",283,180842
"KUNINGAN",2023,"0-4",73,96189
"KUNINGAN",2023,"15-44",261,556890
"KUNINGAN",2023,"45-99",161,377628
"KUNINGAN",2023,"5-14",135,180114
"MAJALENGKA",2020,"0-4",121,93684
"MAJALENGKA",2020,"15-44",571,613983
"MAJALENGKA",2020,"45-99",47,400467
"MAJALENGKA",2020,"5-14",414,197342
"MAJALENGKA",2021,"0-4",140,92814
"MAJALENGKA",2021,"15-44",246,622425
"MAJALENGKA",2021,"45-99",59,408978
"MAJALENGKA",2021,"5-14",337,196484
"MAJALENGKA",2022,"0-4",90,91944
"MAJALENGKA",2022,"15-44",228,630867
"MAJALENGKA",2022,"45-99",69,417489
