"District","Time","Age","Cases","Population"
"KOTA JAKARTA BARAT",2023,"45-54",127,350438
"KOTA JAKARTA BARAT",2023,"5-9",284,192832
"KOTA JAKARTA BARAT",2023,"55-64",86,237648
"KOTA JAKARTA BARAT",2023,"65-74",38,108632
"KOTA JAKARTA BARAT",2023,"75-99",9,38361
"KOTA JAKARTA PUSAT",2020,"0-4",127,73140
"KOTA JAKARTA PUSAT",2020,"10-14",214,78143
"KOTA JAKARTA PUSAT",2020,"15-19",147,83920
"KOTA JAKARTA PUSAT",2020,"20-44",412,426598
"KOTA JAKARTA PUSAT",2020,"45-54",67,148711
"KOTA JAKARTA PUSAT",2020,"5-9",150,74964
"KOTA JAKARTA PUSAT",2020,"55-64",30,104018
"KOTA JAKARTA PUSAT",2020,"65-74",16,47985
"KOTA JAKARTA PUSAT",2020,"75-99",4,19417
"KOTA JAKARTA PUSAT",2021,"0-4",54,73417
"KOTA JAKARTA PUSAT",2021,"10-14",94,79672
"KOTA JAKARTA PUSAT",2021,"15-19",49,84925
"KOTA JAKARTA PUSAT",2021,"20-44",166,427140
"KOTA JAKARTA PUSAT",2021,"45-54",46,153359
"KOTA JAKARTA PUSAT",2021,"5-9",69,75376
"KOTA JAKARTA PUSAT",2021,"55-64",13,108778
"KOTA JAKARTA PUSAT",2021,"65-74",16,50064
"KOTA JAKARTA PUSAT",2021,"75-99",4,20317
"KOTA JAKARTA PUSAT",2022,"0-4",198,73694
"KOTA JAKARTA PUSAT",2022,"10-14",361,81202
"KOTA JAKARTA PUSAT",2022,"15-19",268,85930
"KOTA JAKARTA PUSAT",2022,"20-44",602,427681
"KOTA JAKARTA PUSAT",2022,"45-54",101,158006
"KOTA JAKARTA PUSAT",2022,"5-9",326,75787
"KOTA JAKARTA PUSAT",2022,"55-64",56,113539
"KOTA JAKARTA PUSAT",2022,"65-74",18,52143
"KOTA JAKARTA PUSAT",2022,"75-99",9,21218
"KOTA JAKARTA PUSAT",2023,"0-4",152,73972
"KOTA JAKARTA PUSAT",2023,"10-14",167,82731
"KOTA JAKARTA PUSAT",2023,"15-19",142,86935
"KOTA JAKARTA PUSAT",2023,"20-44",339,428221
"KOTA JAKARTA PUSAT",2023,"45-54",59,162655
"KOTA JAKARTA PUSAT",2023,"5-9",177,76199
"KOTA JAKARTA PUSAT",2023,"55-64",42,118299
"KOTA JAKARTA PUSAT",2023,"65-74",20,54222
"KOTA JAKARTA PUSAT",2023,"75-99",11,22118
"KOTA JAKARTA SELATAN",2020,"0-4",288,160968
"KOTA JAKARTA SELATAN",2020,"10-14",425,171754
"KOTA JAKARTA SELATAN",2020,"15-19",292,176843
"KOTA JAKARTA SELATAN",2020,"20-44",838,908403
"KOTA JAKARTA SELATAN",2020,"45-54",180,318456
"KOTA JAKARTA SELATAN",2020,"5-9",382,165674
"KOTA JAKARTA SELATAN",2020,"55-64",72,203334
"KOTA JAKARTA SELATAN",2020,"65-74",34,88038
"KOTA JAKARTA SELATAN",2020,"75-99",12,33342
"KOTA JAKARTA SELATAN",2021,"0-4",281,159201
"KOTA JAKARTA SELATAN",2021,"10-14",378,173804
"KOTA JAKARTA SELATAN",2021,"15-19",271,177272
"KOTA JAKARTA SELATAN",2021,"20-44",647,899502
"KOTA JAKARTA SELATAN",2021,"45-54",120,327935
"KOTA JAKARTA SELATAN",2021,"5-9",364,165759
"KOTA JAKARTA SELATAN",2021,"55-64",67,212145
"KOTA JAKARTA SELATAN",2021,"65-74",23,91777
"KOTA JAKARTA SELATAN",2021,"75-99",17,34936
"KOTA JAKARTA SELATAN",2022,"0-4",534,157433
"KOTA JAKARTA SELATAN",2022,"10-14",882,175853
"KOTA JAKARTA SELATAN",2022,"15-19",562,177702
"KOTA JAKARTA SELATAN",2022,"20-44",1391,890598
"KOTA JAKARTA SELATAN",2022,"45-54",234,337415
"KOTA JAKARTA SELATAN",2022,"5-9",836,165844
"KOTA JAKARTA SELATAN",2022,"55-64",133,220956
"KOTA JAKARTA SELATAN",2022,"65-74",57,95517
"KOTA JAKARTA SELATAN",2022,"75-99",20,36531
"KOTA JAKARTA SELATAN",2023,"0-4",298,155666
"KOTA JAKARTA SELATAN",2023,"10-14",334,177903
"KOTA JAKARTA SELATAN",2023,"15-19",262,178131
"KOTA JAKARTA SELATAN",2023,"20-44",725,881696
"KOTA JAKARTA SELATAN",2023,"45-54",150,346893
"KOTA JAKARTA SELATAN",2023,"5-9",370,165930
"KOTA JAKARTA SELATAN",2023,"55-64",89,229766
"KOTA JAKARTA SELATAN",2023,"65-74",32,99256
"KOTA JAKARTA SELATAN",2023,"75-99",19,38125
"KOTA JAKARTA TIMUR",2020,"0-4",396,238497
"KOTA JAKARTA TIMUR",2020,"10-14",520,241911
"KOTA JAKARTA TIMUR",2020,"15-19",446,245870
"KOTA JAKARTA TIMUR",2020,"20-44",1007,1245440
"KOTA JAKARTA TIMUR",2020,"45-54",210,409749
"KOTA JAKARTA TIMUR",2020,"5-9",512,238133
"KOTA JAKARTA TIMUR",2020,"55-64",99,266163
"KOTA JAKARTA TIMUR",2020,"65-74",43,115613
"KOTA JAKARTA TIMUR",2020,"75-99",17,35763
"KOTA JAKARTA TIMUR",2021,"0-4",389,237372
"KOTA JAKARTA TIMUR",2021,"10-14",493,245564
"KOTA JAKARTA TIMUR",2021,"15-19",355,248115
"KOTA JAKARTA TIMUR",2021,"20-44",847,1241466
"KOTA JAKARTA TIMUR",2021,"45-54",138,421818
"KOTA JAKARTA TIMUR",2021,"5-9",542,239063
"KOTA JAKARTA TIMUR",2021,"55-64",78,278004
"KOTA JAKARTA TIMUR",2021,"65-74",31,121388
"KOTA JAKARTA TIMUR",2021,"75-99",9,37482
"KOTA JAKARTA TIMUR",2022,"0-4",559,236248
"KOTA JAKARTA TIMUR",2022,"10-14",796,249217
"KOTA JAKARTA TIMUR",2022,"15-19",564,250359
"KOTA JAKARTA TIMUR",2022,"20-44",1561,1237492
"KOTA JAKARTA TIMUR",2022,"45-54",266,433888
"KOTA JAKARTA TIMUR",2022,"5-9",842,239992
"KOTA JAKARTA TIMUR",2022,"55-64",127,289844
"KOTA JAKARTA TIMUR",2022,"65-74",54,127164
"KOTA JAKARTA TIMUR",2022,"75-99",18,39201
"KOTA JAKARTA TIMUR",2023,"0-4",484,235123
"KOTA JAKARTA TIMUR",2023,"10-14",377,252870
"KOTA JAKARTA TIMUR",2023,"15-19",284,252604
"KOTA JAKARTA TIMUR",2023,"20-44",707,1233517
"KOTA JAKARTA TIMUR",2023,"45-54",171,445957
"KOTA JAKARTA TIMUR",2023,"5-9",425,240922
"KOTA JAKARTA TIMUR",2023,"55-64",105,301685
"KOTA JAKARTA TIMUR",2023,"65-74",54,132939
"KOTA JAKARTA TIMUR",2023,"75-99",14,40919
"KOTA JAKARTA UTARA",2020,"0-4",245,143801
"KOTA JAKARTA UTARA",2020,"10-14",269,140956
"KOTA JAKARTA UTARA",2020,"15-19",243,139685
"KOTA JAKARTA UTARA",2020,"20-44",771,746771
"KOTA JAKARTA UTARA",2020,"45-54",135,228247
"KOTA JAKARTA UTARA",2020,"5-9",213,143250
"KOTA JAKARTA UTARA",2020,"55-64",85,147015
"KOTA JAKARTA UTARA",2020,"65-74",33,66926
"KOTA JAKARTA UTARA",2020,"75-99",11,22330
"KOTA JAKARTA UTARA",2021,"0-4",186,143469
"KOTA JAKARTA UTARA",2021,"10-14",212,143196
"KOTA JAKARTA UTARA",2021,"15-19",146,139018
"KOTA JAKARTA UTARA",2021,"20-44",457,739693
"KOTA JAKARTA UTARA",2021,"45-54",90,234857
"KOTA JAKARTA UTARA",2021,"5-9",150,144308
"KOTA JAKARTA UTARA",2021,"55-64",62,153212
"KOTA JAKARTA UTARA",2021,"65-74",27,70284
"KOTA JAKARTA UTARA",2021,"75-99",9,23524
"KOTA JAKARTA UTARA",2022,"0-4",402,143138
"KOTA JAKARTA UTARA",2022,"10-14",790,145437
"KOTA JAKARTA UTARA",2022,"15-19",595,138351
"KOTA JAKARTA UTARA",2022,"20-44",1686,732611
"KOTA JAKARTA UTARA",2022,"45-54",295,241467
"KOTA JAKARTA UTARA",2022,"5-9",677,145367
"KOTA JAKARTA UTARA",2022,"55-64",146,159408
"KOTA JAKARTA UTARA",2022,"65-74",66,73643
"KOTA JAKARTA UTARA",2022,"75-99",19,24718
"KOTA JAKARTA UTARA",2023,"0-4",269,142806
"KOTA JAKARTA UTARA",2023,"10-14",364,147677
"KOTA JAKARTA UTARA",2023,"15-19",301,137684
"KOTA JAKARTA UTARA",2023,"20-44",870,725533
"KOTA JAKARTA UTARA",2023,"45-54",169,248078
"KOTA JAKARTA UTARA",2023,"5-9",315,146425
"KOTA JAKARTA UTARA",2023,"55-64",111,165606
"KOTA JAKARTA UTARA",2023,"65-74",58,77001
"KOTA JAKARTA UTARA",2023,"75-99",19,25911
