District,Year,HDI
PAPUA BARAT DAYA,2022,-
RAJA AMPAT,2022,-
RAJA AMPAT,2022,-
SORONG,2022,-
SORONG,2022,-
SORONG SELATAN,2022,-
SORONG SELATAN,2022,-
MAYBRAT,2022,-
MAYBRAT,2022,-
TAMBRAUW,2022,-
TAMBRAUW,2022,-
KOTA SORONG,2022,-
KOTA SORONG,2022,-
PAPUA,2022,61.39
MERAUKE,2022,71.24
MERAUKE,2022,71.24
JAYAWIJAYA,2022,59.6
JAYAWIJAYA,2022,59.6
JAYAPURA,2022,72.67
NABIRE,2022,69.91
NABIRE,2022,69.91
KEPULAUAN YAPEN,2022,68.41
BIAK NUMFOR,2022,72.85
PANIAI,2022,57.14
PANIAI,2022,57.14
PUNCAK JAYA,2022,49.84
PUNCAK JAYA,2022,49.84
MIMIKA,2022,75.08
MIMIKA,2022,75.08
BOVEN DIGOEL,2022,62.52
BOVEN DIGOEL,2022,62.52
MAPPI,2022,59.61
MAPPI,2022,59.61
ASMAT,2022,52.22
ASMAT,2022,52.22
YAHUKIMO,2022,50.25
YAHUKIMO,2022,50.25
PEGUNUNGAN BINTANG,2022,47.21
PEGUNUNGAN BINTANG,2022,47.21
TOLIKARA,2022,50.51
TOLIKARA,2022,50.51
SARMI,2022,64.86
KEEROM,2022,67.24
WAROPEN,2022,65.67
SUPIORI,2022,63.65
MAMBERAMO RAYA,2022,53.1
NDUGA,2022,34.1
NDUGA,2022,34.1
LANNY JAYA,2022,49.62
LANNY JAYA,2022,49.62
MAMBERAMO TENGAH,2022,49.25
MAMBERAMO TENGAH,2022,49.25
YALIMO,2022,49.9
YALIMO,2022,49.9
PUNCAK,2022,43.87
PUNCAK,2022,43.87
DOGIYAI,2022,55.72
DOGIYAI,2022,55.72
INTAN JAYA,2022,49.25
INTAN JAYA,2022,49.25
DEIYAI,2022,50.42
DEIYAI,2022,50.42
KOTA JAYAPURA,2022,80.61
PAPUA SELATAN,2022,-
MERAUKE,2022,-
MERAUKE,2022,-
BOVEN DIGOEL,2022,-
BOVEN DIGOEL,2022,-
MAPPI,2022,-
MAPPI,2022,-
ASMAT,2022,-
ASMAT,2022,-
PAPUA TENGAH,2022,-
MIMIKA,2022,-
MIMIKA,2022,-
DOGIYAI,2022,-
DOGIYAI,2022,-
DEIYAI,2022,-
DEIYAI,2022,-
NABIRE,2022,-
NABIRE,2022,-
PANIAI,2022,-
PANIAI,2022,-
INTAN JAYA,2022,-
INTAN JAYA,2022,-
PUNCAK,2022,-
PUNCAK,2022,-
PUNCAK JAYA,2022,-
PUNCAK JAYA,2022,-
PAPUA PEGUNUNGAN,2022,-
