District,Year,Life Expectancy
BUNGO,2020,67.74
KOTA JAMBI,2020,72.65
KOTA SUNGAI PENUH,2020,72.11
SUMATERA SELATAN,2020,69.88
OGAN KOMERING ULU,2020,68.2
OGAN KOMERING ILIR,2020,68.61
MUARA ENIM,2020,68.9
LAHAT,2020,66.04
MUSI RAWAS,2020,68.14
MUSI BANYUASIN,2020,68.75
BANYU ASIN,2020,68.97
OGAN KOMERING ULU SELATAN,2020,67.04
OGAN KOMERING ULU TIMUR,2020,69.1
OGAN ILIR,2020,65.48
EMPAT LAWANG,2020,65.08
PENUKAL ABAB LEMATANG ILIR,2020,68.27
MUSI RAWAS UTARA,2020,65.68
KOTA PALEMBANG,2020,70.79
KOTA PRABUMULIH,2020,70.32
KOTA PAGAR ALAM,2020,66.71
KOTA LUBUKLINGGAU,2020,69.25
BENGKULU,2020,69.35
BENGKULU SELATAN,2020,67.9
REJANG LEBONG,2020,68.57
BENGKULU UTARA,2020,68.19
KAUR,2020,66.63
SELUMA,2020,67.75
MUKOMUKO,2020,66.64
LEBONG,2020,63.29
KEPAHIANG,2020,67.95
BENGKULU TENGAH,2020,68.19
KOTA BENGKULU,2020,70.13
LAMPUNG,2020,70.65
LAMPUNG BARAT,2020,67.58
TANGGAMUS,2020,68.56
LAMPUNG SELATAN,2020,69.33
LAMPUNG TIMUR,2020,70.73
LAMPUNG TENGAH,2020,69.84
LAMPUNG UTARA,2020,69.21
WAY KANAN,2020,69.4
TULANGBAWANG,2020,69.97
PESAWARAN,2020,69.04
PRINGSEWU,2020,70.08
MESUJI,2020,68.19
TULANG BAWANG BARAT,2020,70.0
PESISIR BARAT,2020,63.5
KOTA BANDAR LAMPUNG,2020,71.37
KOTA METRO,2020,71.63
KEP. BANGKA BELITUNG,2020,70.64
BANGKA,2020,71.06
BELITUNG,2020,71.05
BANGKA BARAT,2020,70.06
BANGKA TENGAH,2020,71.36
BANGKA SELATAN,2020,68.16
BELITUNG TIMUR,2020,72.03
KOTA PANGKAL PINANG,2020,73.3
KEPULAUAN RIAU,2020,69.96
KARIMUN,2020,70.91
BINTAN,2020,70.38
NATUNA,2020,65.06
LINGGA,2020,62.06
KEPULAUAN ANAMBAS,2020,67.21
KOTA BATAM,2020,73.33
KOTA TANJUNG PINANG,2020,72.1
DKI JAKARTA,2020,72.91
KEPULAUAN SERIBU,2020,68.76
KOTA JAKARTA SELATAN,2020,74.12
KOTA JAKARTA TIMUR,2020,74.47
KOTA JAKARTA PUSAT,2020,74.11
KOTA JAKARTA BARAT,2020,73.62
KOTA JAKARTA UTARA,2020,73.28
JAWA BARAT,2020,73.04
BOGOR,2020,71.17
SUKABUMI,2020,70.97
CIANJUR,2020,70.13
BANDUNG,2020,73.53
GARUT,2020,71.41
TASIKMALAYA,2020,69.47
CIAMIS,2020,71.83
KUNINGAN,2020,73.59
CIREBON,2020,71.99
MAJALENGKA,2020,70.27
SUMEDANG,2020,72.43
INDRAMAYU,2020,71.63
SUBANG,2020,72.35
PURWAKARTA,2020,70.99
KARAWANG,2020,72.15
BEKASI,2020,73.68
BANDUNG BARAT,2020,72.34
PANGANDARAN,2020,71.4
KOTA BOGOR,2020,73.61
KOTA SUKABUMI,2020,72.42
KOTA BANDUNG,2020,74.28
KOTA CIREBON,2020,72.26
KOTA BEKASI,2020,75.01
KOTA DEPOK,2020,74.44
KOTA CIMAHI,2020,74.03
KOTA TASIKMALAYA,2020,72.15
KOTA BANJAR,2020,70.99
JAWA TENGAH,2020,74.37
CILACAP,2020,73.73
BANYUMAS,2020,73.72
PURBALINGGA,2020,73.14
BANJARNEGARA,2020,74.18
KEBUMEN,2020,73.4
PURWOREJO,2020,74.72
WONOSOBO,2020,71.82
MAGELANG,2020,73.72
BOYOLALI,2020,75.95
KLATEN,2020,76.78
SUKOHARJO,2020,77.65
WONOGIRI,2020,76.16
KARANGANYAR,2020,77.47
SRAGEN,2020,75.71
GROBOGAN,2020,74.75
BLORA,2020,74.41
REMBANG,2020,74.55
PATI,2020,76.22
KUDUS,2020,76.6
JEPARA,2020,75.84
DEMAK,2020,75.4
SEMARANG,2020,75.73
TEMANGGUNG,2020,75.58
KENDAL,2020,74.43
BATANG,2020,74.69
PEKALONGAN,2020,73.69
PEMALANG,2020,73.4
TEGAL,2020,71.6
BREBES,2020,69.33
KOTA MAGELANG,2020,76.85
KOTA SURAKARTA,2020,77.22
KOTA SALATIGA,2020,77.4
KOTA SEMARANG,2020,77.34
KOTA PEKALONGAN,2020,74.38
KOTA TEGAL,2020,74.46
D I YOGYAKARTA,2020,74.99
KULON PROGO,2020,75.24
BANTUL,2020,73.86
GUNUNG KIDUL,2020,74.12
SLEMAN,2020,74.81
KOTA YOGYAKARTA,2020,74.65
JAWA TIMUR,2020,71.3
PACITAN,2020,71.94
PONOROGO,2020,72.77
TRENGGALEK,2020,73.75
TULUNGAGUNG,2020,74.08
BLITAR,2020,73.52
KEDIRI,2020,72.61
MALANG,2020,72.55
LUMAJANG,2020,70.1
JEMBER,2020,69.15
BANYUWANGI,2020,70.65
BONDOWOSO,2020,66.74
SITUBONDO,2020,69.13
PROBOLINGGO,2020,67.2
PASURUAN,2020,70.23
SIDOARJO,2020,74.04
MOJOKERTO,2020,72.53
JOMBANG,2020,72.4
NGANJUK,2020,71.54
MADIUN,2020,71.38
MAGETAN,2020,72.59
NGAWI,2020,72.3
BOJONEGORO,2020,71.56
TUBAN,2020,71.43
LAMONGAN,2020,72.4
GRESIK,2020,72.66
BANGKALAN,2020,70.18
SAMPANG,2020,68.03
PAMEKASAN,2020,67.58
SUMENEP,2020,71.41
KOTA KEDIRI,2020,74.02
KOTA BLITAR,2020,73.75
KOTA MALANG,2020,73.27
KOTA PROBOLINGGO,2020,70.29
KOTA PASURUAN,2020,71.52
KOTA MOJOKERTO,2020,73.32
KOTA MADIUN,2020,72.81
KOTA SURABAYA,2020,74.18
KOTA BATU,2020,72.61
BANTEN,2020,69.96
PANDEGLANG,2020,64.66
LEBAK,2020,67.21
TANGERANG,2020,69.89
SERANG,2020,64.64
KOTA TANGERANG,2020,71.6
KOTA CILEGON,2020,66.67
KOTA SERANG,2020,68.0
KOTA TANGERANG SELATAN,2020,72.47
BALI,2020,72.13
JEMBRANA,2020,72.35
TABANAN,2020,73.65
BADUNG,2020,75.1
GIANYAR,2020,73.68
KLUNGKUNG,2020,71.25
BANGLI,2020,70.52
KARANGASEM,2020,70.47
BULELENG,2020,71.83
KOTA DENPASAR,2020,74.82
NUSA TENGGARA BARAT,2020,66.51
LOMBOK BARAT,2020,66.94
LOMBOK TENGAH,2020,66.21
LOMBOK TIMUR,2020,65.97
SUMBAWA,2020,67.54
DOMPU,2020,66.82
BIMA,2020,66.33
SUMBAWA BARAT,2020,68.07
LOMBOK UTARA,2020,67.17
KOTA MATARAM,2020,71.76
KOTA BIMA,2020,70.38
NUSA TENGGARA TIMUR,2020,67.01
SUMBA BARAT,2020,67.08
SUMBA TIMUR,2020,65.13
KUPANG,2020,64.63
TIMOR TENGAH SELATAN,2020,66.42
TIMOR TENGAH UTARA,2020,66.96
BELU,2020,64.61
ALOR,2020,61.48
LEMBATA,2020,67.07
FLORES TIMUR,2020,65.2
SIKKA,2020,67.24
ENDE,2020,65.29
NGADA,2020,68.04
MANGGARAI,2020,67.03
ROTE NDAO,2020,64.6
MANGGARAI BARAT,2020,67.38
SUMBA TENGAH,2020,68.38
SUMBA BARAT DAYA,2020,68.53
NAGEKEO,2020,67.13
MANGGARAI TIMUR,2020,68.04
SABU RAIJUA,2020,60.64
MALAKA,2020,64.97
KOTA KUPANG,2020,69.55
KALIMANTAN BARAT,2020,70.69
SAMBAS,2020,68.93
BENGKAYANG,2020,73.83
LANDAK,2020,72.84
MEMPAWAH,2020,71.04
SANGGAU,2020,71.42
KETAPANG,2020,71.1
SINTANG,2020,71.71
KAPUAS HULU,2020,72.52
SEKADAU,2020,71.84
MELAWI,2020,72.97
KAYONG UTARA,2020,68.28
KUBU RAYA,2020,70.59
KOTA PONTIANAK,2020,72.96
KOTA SINGKAWANG,2020,72.06
KALIMANTAN TENGAH,2020,69.74
KOTAWARINGIN BARAT,2020,70.59
KOTAWARINGIN TIMUR,2020,69.85
KAPUAS,2020,68.74
BARITO SELATAN,2020,67.09
BARITO UTARA,2020,71.3
SUKAMARA,2020,71.53
LAMANDAU,2020,69.36
SERUYAN,2020,69.26
KATINGAN,2020,65.78
PULANG PISAU,2020,68.04
GUNUNG MAS,2020,70.4
BARITO TIMUR,2020,68.22
MURUNG RAYA,2020,69.51
KOTA PALANGKA RAYA,2020,73.21
KALIMANTAN SELATAN,2020,68.66
TANAH LAUT,2020,69.45
KOTABARU,2020,69.21
BANJAR,2020,67.21
BARITO KUALA,2020,66.09
TAPIN,2020,70.4
HULU SUNGAI SELATAN,2020,65.97
HULU SUNGAI TENGAH,2020,66.01
HULU SUNGAI UTARA,2020,63.83
TABALONG,2020,70.44
TANAH BUMBU,2020,70.34
BALANGAN,2020,67.72
KOTA BANJARMASIN,2020,71.13
KOTA BANJAR BARU,2020,71.99
KALIMANTAN TIMUR,2020,74.33
PASER,2020,72.62
KUTAI BARAT,2020,72.86
KUTAI KARTANEGARA,2020,72.34
KUTAI TIMUR,2020,73.16
BERAU,2020,72.06
PENAJAM PASER UTARA,2020,71.41
MAHAKAM ULU,2020,72.1
KOTA BALIKPAPAN,2020,74.49
KOTA SAMARINDA,2020,74.27
KOTA BONTANG,2020,74.28
KALIMANTAN UTARA,2020,72.59
MALINAU,2020,71.45
BULUNGAN,2020,72.66
TANA TIDUNG,2020,71.42
NUNUKAN,2020,71.34
KOTA TARAKAN,2020,73.97
SULAWESI UTARA,2020,71.69
BOLAANG MONGONDOW,2020,69.36
MINAHASA,2020,71.08
KEPULAUAN SANGIHE,2020,70.1
KEPULAUAN TALAUD,2020,70.16
MINAHASA SELATAN,2020,69.92
MINAHASA UTARA,2020,71.38
BOLAANG MONGONDOW UTARA,2020,67.66
SIAU TAGULANDANG BIARO,2020,70.73
MINAHASA TENGGARA,2020,70.15
BOLAANG MONGONDOW SELATAN,2020,64.49
BOLAANG MONGONDOW TIMUR,2020,67.89
KOTA MANADO,2020,71.87
KOTA BITUNG,2020,71.07
KOTA TOMOHON,2020,71.93
KOTA KOTAMOBAGU,2020,70.47
SULAWESI TENGAH,2020,68.69
BANGGAI KEPULAUAN,2020,66.31
BANGGAI,2020,70.88
MOROWALI,2020,69.18
POSO,2020,71.18
DONGGALA,2020,67.33
TOLI-TOLI,2020,65.9
BUOL,2020,68.76
PARIGI MOUTONG,2020,64.3
TOJO UNA-UNA,2020,65.67
SIGI,2020,69.99
BANGGAI LAUT,2020,65.38
MOROWALI UTARA,2020,69.61
KOTA PALU,2020,71.04
SULAWESI SELATAN,2020,70.57
KEPULAUAN SELAYAR,2020,68.46
BULUKUMBA,2020,67.92
BANTAENG,2020,70.54
JENEPONTO,2020,66.39
TAKALAR,2020,67.18
GOWA,2020,70.43
SINJAI,2020,67.3
MAROS,2020,69.02
PANGKAJENE DAN KEPULAUAN,2020,66.66
BARRU,2020,69.02
BONE,2020,67.07
SOPPENG,2020,69.65
WAJO,2020,67.35
SIDENRENG RAPPANG,2020,69.83
PINRANG,2020,69.61
ENREKANG,2020,70.91
LUWU,2020,70.34
TANA TORAJA,2020,73.3
LUWU UTARA,2020,68.51
LUWU TIMUR,2020,70.53
TORAJA UTARA,2020,73.39
KOTA MAKASAR,2020,72.09
KOTA PAREPARE,2020,71.27
KOTA PALOPO,2020,70.88
SULAWESI TENGGARA,2020,71.22
BUTON,2020,68.25
MUNA,2020,70.39
KONAWE,2020,70.27
KOLAKA,2020,71.06
KONAWE SELATAN,2020,70.8
BOMBANA,2020,68.91
WAKATOBI,2020,70.41
KOLAKA UTARA,2020,70.36
BUTON UTARA,2020,70.93
KONAWE UTARA,2020,69.51
KOLAKA TIMUR,2020,72.67
KONAWE KEPULAUAN,2020,68.43
MUNA BARAT,2020,70.34
BUTON TENGAH,2020,67.66
BUTON SELATAN,2020,67.66
KOTA KENDARI,2020,73.77
KOTA BAUBAU,2020,71.19
GORONTALO,2020,68.07
BOALEMO,2020,69.07
GORONTALO,2020,67.58
POHUWATO,2020,64.07
BONE BOLANGO,2020,68.46
GORONTALO UTARA,2020,65.87
KOTA GORONTALO,2020,72.49
SULAWESI BARAT,2020,65.06
MAJENE,2020,61.56
POLEWALI MANDAR,2020,62.38
MAMASA,2020,70.87
MAMUJU,2020,67.52
MAMUJU UTARA / PASANGKAYU,2020,66.2
MAMUJU TENGAH,2020,68.33
MALUKU,2020,65.98
MALUKU TENGGARA BARAT / KEPULAUAN TANIMBAR,2020,63.42
MALUKU TENGGARA,2020,65.07
MALUKU TENGAH,2020,66.42
BURU,2020,66.41
KEPULAUAN ARU,2020,62.87
SERAM BAGIAN BARAT,2020,61.69
SERAM BAGIAN TIMUR,2020,59.41
MALUKU BARAT DAYA,2020,62.38
BURU SELATAN,2020,66.27
KOTA AMBON,2020,70.52
KOTA TUAL,2020,65.47
MALUKU UTARA,2020,68.33
HALMAHERA BARAT,2020,66.25
HALMAHERA TENGAH,2020,63.91
KEPULAUAN SULA,2020,63.3
HALMAHERA SELATAN,2020,65.86
HALMAHERA UTARA,2020,69.56
HALMAHERA TIMUR,2020,68.88
PULAU MOROTAI,2020,67.18
PULAU TALIABU,2020,62.1
KOTA TERNATE,2020,70.97
KOTA TIDORE KEPULAUAN,2020,69.34
PAPUA BARAT,2020,66.02
FAKFAK,2020,68.47
KAIMANA,2020,64.81
TELUK WONDAMA,2020,60.1
TELUK BINTUNI,2020,60.83
MANOKWARI,2020,68.68
SORONG SELATAN,2020,66.25
SORONG SELATAN,2020,
SORONG,2020,66.1
SORONG,2020,
RAJA AMPAT,2020,64.74
RAJA AMPAT,2020,
TAMBRAUW,2020,60.13
TAMBRAUW,2020,
MAYBRAT,2020,65.19
MAYBRAT,2020,
MANOKWARI SELATAN,2020,67.58
PEGUNUNGAN ARFAK,2020,67.24
KOTA SORONG,2020,70.7
KOTA SORONG,2020,
PAPUA BARAT DAYA,2020,
RAJA AMPAT,2020,64.74
RAJA AMPAT,2020,
SORONG,2020,66.1
SORONG,2020,
SORONG SELATAN,2020,66.25
SORONG SELATAN,2020,
MAYBRAT,2020,65.19
MAYBRAT,2020,
TAMBRAUW,2020,60.13
TAMBRAUW,2020,
KOTA SORONG,2020,70.7
KOTA SORONG,2020,
PAPUA,2020,65.79
MERAUKE,2020,67.0
MERAUKE,2020,
JAYAWIJAYA,2020,59.64
JAYAWIJAYA,2020,
JAYAPURA,2020,67.05
NABIRE,2020,68.06
NABIRE,2020,
KEPULAUAN YAPEN,2020,69.12
BIAK NUMFOR,2020,68.25
PANIAI,2020,66.44
PANIAI,2020,
PUNCAK JAYA,2020,65.15
PUNCAK JAYA,2020,
MIMIKA,2020,72.32
MIMIKA,2020,
BOVEN DIGOEL,2020,59.97
BOVEN DIGOEL,2020,
MAPPI,2020,65.11
MAPPI,2020,
ASMAT,2020,58.05
ASMAT,2020,
YAHUKIMO,2020,65.93
YAHUKIMO,2020,
PEGUNUNGAN BINTANG,2020,64.44
PEGUNUNGAN BINTANG,2020,
TOLIKARA,2020,65.71
TOLIKARA,2020,
SARMI,2020,66.36
KEEROM,2020,66.69
WAROPEN,2020,66.33
SUPIORI,2020,65.94
MAMBERAMO RAYA,2020,57.77
NDUGA,2020,55.27
NDUGA,2020,
LANNY JAYA,2020,66.06
LANNY JAYA,2020,
MAMBERAMO TENGAH,2020,63.59
MAMBERAMO TENGAH,2020,
YALIMO,2020,65.42
YALIMO,2020,
PUNCAK,2020,65.74
PUNCAK,2020,
DOGIYAI,2020,65.73
DOGIYAI,2020,
INTAN JAYA,2020,65.6
INTAN JAYA,2020,
DEIYAI,2020,65.24
DEIYAI,2020,
KOTA JAYAPURA,2020,70.45
PAPUA SELATAN,2020,
MERAUKE,2020,67.0
MERAUKE,2020,
BOVEN DIGOEL,2020,59.97
BOVEN DIGOEL,2020,
MAPPI,2020,65.11
MAPPI,2020,
ASMAT,2020,58.05
ASMAT,2020,
PAPUA TENGAH,2020,
MIMIKA,2020,72.32
MIMIKA,2020,
DOGIYAI,2020,65.73
DOGIYAI,2020,
DEIYAI,2020,65.24
DEIYAI,2020,
NABIRE,2020,68.06
NABIRE,2020,
PANIAI,2020,66.44
PANIAI,2020,
INTAN JAYA,2020,65.6
INTAN JAYA,2020,
PUNCAK,2020,65.74
PUNCAK,2020,
PUNCAK JAYA,2020,65.15
PUNCAK JAYA,2020,
PAPUA PEGUNUNGAN,2020,
NDUGA,2020,55.27
NDUGA,2020,
JAYAWIJAYA,2020,59.64
JAYAWIJAYA,2020,
LANNY JAYA,2020,66.06
LANNY JAYA,2020,
TOLIKARA,2020,65.71
TOLIKARA,2020,
MAMBERAMO TENGAH,2020,63.59
MAMBERAMO TENGAH,2020,
YALIMO,2020,65.42
YALIMO,2020,
YAHUKIMO,2020,65.93
YAHUKIMO,2020,
PEGUNUNGAN BINTANG,2020,64.44
PEGUNUNGAN BINTANG,2020,
INDONESIA,2020,71.47
ACEH,2021,69.96
SIMEULUE,2021,65.28
ACEH SINGKIL,2021,67.43
ACEH SELATAN,2021,64.4
ACEH TENGGARA,2021,68.22
ACEH TIMUR,2021,68.74
ACEH TENGAH,2021,68.86
ACEH BARAT,2021,67.99
ACEH BESAR,2021,69.79
PIDIE,2021,66.95
BIREUEN,2021,71.26
ACEH UTARA,2021,68.81
ACEH BARAT DAYA,2021,65.06
GAYO LUES,2021,65.53
ACEH TAMIANG,2021,69.63
NAGAN RAYA,2021,69.24
ACEH JAYA,2021,67.19
BENER MERIAH,2021,69.26
PIDIE JAYA,2021,70.18
KOTA BANDA ACEH,2021,71.52
KOTA SABANG,2021,70.56
KOTA LANGSA,2021,69.43
KOTA LHOKSEUMAWE,2021,71.64
KOTA SUBULUSSALAM,2021,64.07
SUMATERA UTARA,2021,69.23
NIAS,2021,69.78
MANDAILING NATAL,2021,62.65
TAPANULI SELATAN,2021,64.97
TAPANULI TENGAH,2021,67.24
TAPANULI UTARA,2021,68.76
TOBA SAMOSIR / TOBA,2021,70.29
LABUHAN BATU,2021,69.95
ASAHAN,2021,68.37
SIMALUNGUN,2021,71.37
DAIRI,2021,69.19
KARO,2021,71.58
DELI SERDANG,2021,71.77
LANGKAT,2021,68.97
NIAS SELATAN,2021,68.86
HUMBANG HASUNDUTAN,2021,69.51
PAKPAK BHARAT,2021,65.96
SAMOSIR,2021,71.41
SERDANG BEDAGAI,2021,68.82
BATU BARA,2021,67.13
PADANG LAWAS UTARA,2021,67.22
PADANG LAWAS,2021,67.13
LABUHAN BATU SELATAN,2021,68.81
LABUHAN BATU UTARA,2021,69.56
NIAS UTARA,2021,69.55
NIAS BARAT,2021,69.08
KOTA SIBOLGA,2021,69.25
KOTA TANJUNG BALAI,2021,63.44
KOTA PEMATANG SIANTAR,2021,73.77
KOTA TEBING TINGGI,2021,70.95
KOTA MEDAN,2021,73.23
KOTA BINJAI,2021,72.45
KOTA PADANGSIDIMPUAN,2021,69.5
KOTA GUNUNGSITOLI,2021,71.32
SUMATERA BARAT,2021,69.59
KEPULAUAN MENTAWAI,2021,64.73
PESISIR SELATAN,2021,70.96
SOLOK,2021,68.79
SIJUNJUNG,2021,66.36
TANAH DATAR,2021,70.12
PADANG PARIAMAN,2021,68.97
AGAM,2021,72.53
LIMA PULUH KOTA,2021,69.84
PASAMAN,2021,67.59
SOLOK SELATAN,2021,68.01
DHARMASRAYA,2021,71.53
PASAMAN BARAT,2021,67.94
KOTA PADANG,2021,73.69
KOTA SOLOK,2021,73.73
KOTA SAWAH LUNTO,2021,70.1
KOTA PADANG PANJANG,2021,72.82
KOTA BUKITTINGGI,2021,74.5
KOTA PAYAKUMBUH,2021,73.84
KOTA PARIAMAN,2021,70.38
RIAU,2021,71.67
KUANTAN SINGINGI,2021,68.6
INDRAGIRI HULU,2021,70.26
INDRAGIRI HILIR,2021,67.98
PELALAWAN,2021,71.24
SIAK,2021,71.13
KAMPAR,2021,70.83
ROKAN HULU,2021,70.18
BENGKALIS,2021,71.24
ROKAN HILIR,2021,70.39
KEPULAUAN MERANTI,2021,67.78
KOTA PEKANBARU,2021,72.41
KOTA DUMAI,2021,70.98
JAMBI,2021,71.22
KERINCI,2021,70.0
MERANGIN,2021,71.29
SAROLANGUN,2021,69.21
BATANG HARI,2021,70.64
MUARO JAMBI,2021,71.32
TANJUNG JABUNG TIMUR,2021,66.34
TANJUNG JABUNG BARAT,2021,68.17
TEBO,2021,70.02
BUNGO,2021,67.83
KOTA JAMBI,2021,72.71
KOTA SUNGAI PENUH,2021,72.21
SUMATERA SELATAN,2021,69.98
OGAN KOMERING ULU,2021,68.24
OGAN KOMERING ILIR,2021,68.67
MUARA ENIM,2021,69.02
LAHAT,2021,66.16
MUSI RAWAS,2021,68.26
MUSI BANYUASIN,2021,68.84
BANYU ASIN,2021,69.06
OGAN KOMERING ULU SELATAN,2021,67.07
OGAN KOMERING ULU TIMUR,2021,69.17
OGAN ILIR,2021,65.6
EMPAT LAWANG,2021,65.13
PENUKAL ABAB LEMATANG ILIR,2021,68.33
MUSI RAWAS UTARA,2021,65.76
KOTA PALEMBANG,2021,71.01
KOTA PRABUMULIH,2021,70.47
KOTA PAGAR ALAM,2021,66.85
KOTA LUBUKLINGGAU,2021,69.39
BENGKULU,2021,69.42
BENGKULU SELATAN,2021,67.93
REJANG LEBONG,2021,68.75
BENGKULU UTARA,2021,68.27
KAUR,2021,66.73
SELUMA,2021,67.9
MUKOMUKO,2021,66.73
LEBONG,2021,63.4
KEPAHIANG,2021,68.08
BENGKULU TENGAH,2021,68.19
KOTA BENGKULU,2021,70.2
LAMPUNG,2021,70.73
LAMPUNG BARAT,2021,67.65
TANGGAMUS,2021,68.67
LAMPUNG SELATAN,2021,69.42
LAMPUNG TIMUR,2021,70.78
LAMPUNG TENGAH,2021,69.87
LAMPUNG UTARA,2021,69.3
WAY KANAN,2021,69.46
TULANGBAWANG,2021,70.01
PESAWARAN,2021,69.15
PRINGSEWU,2021,70.27
MESUJI,2021,68.26
TULANG BAWANG BARAT,2021,70.03
PESISIR BARAT,2021,63.66
KOTA BANDAR LAMPUNG,2021,71.42
KOTA METRO,2021,71.66
KEP. BANGKA BELITUNG,2021,70.73
BANGKA,2021,71.14
BELITUNG,2021,71.1
BANGKA BARAT,2021,70.08
BANGKA TENGAH,2021,71.52
BANGKA SELATAN,2021,68.35
BELITUNG TIMUR,2021,72.1
KOTA PANGKAL PINANG,2021,73.41
KEPULAUAN RIAU,2021,70.12
KARIMUN,2021,71.11
BINTAN,2021,70.46
NATUNA,2021,65.31
LINGGA,2021,62.39
KEPULAUAN ANAMBAS,2021,67.36
KOTA BATAM,2021,73.36
KOTA TANJUNG PINANG,2021,72.18
DKI JAKARTA,2021,73.01
KEPULAUAN SERIBU,2021,68.99
KOTA JAKARTA SELATAN,2021,74.2
KOTA JAKARTA TIMUR,2021,74.54
KOTA JAKARTA PUSAT,2021,74.19
KOTA JAKARTA BARAT,2021,73.69
KOTA JAKARTA UTARA,2021,73.35
JAWA BARAT,2021,73.23
BOGOR,2021,71.36
SUKABUMI,2021,71.21
CIANJUR,2021,70.32
BANDUNG,2021,73.72
GARUT,2021,71.59
TASIKMALAYA,2021,69.67
CIAMIS,2021,72.02
KUNINGAN,2021,73.78
CIREBON,2021,72.18
MAJALENGKA,2021,70.46
SUMEDANG,2021,72.62
INDRAMAYU,2021,71.84
SUBANG,2021,72.58
PURWAKARTA,2021,71.18
KARAWANG,2021,72.33
BEKASI,2021,73.81
BANDUNG BARAT,2021,72.52
PANGANDARAN,2021,71.6
KOTA BOGOR,2021,73.82
KOTA SUKABUMI,2021,72.58
KOTA BANDUNG,2021,74.46
KOTA CIREBON,2021,72.44
KOTA BEKASI,2021,75.19
KOTA DEPOK,2021,74.62
KOTA CIMAHI,2021,74.21
KOTA TASIKMALAYA,2021,72.34
KOTA BANJAR,2021,71.19
JAWA TENGAH,2021,74.47
CILACAP,2021,73.9
BANYUMAS,2021,73.8
PURBALINGGA,2021,73.21
BANJARNEGARA,2021,74.28
KEBUMEN,2021,73.55
PURWOREJO,2021,74.87
WONOSOBO,2021,71.94
MAGELANG,2021,73.88
BOYOLALI,2021,76.03
KLATEN,2021,76.86
SUKOHARJO,2021,77.73
WONOGIRI,2021,76.28
KARANGANYAR,2021,77.55
SRAGEN,2021,75.79
GROBOGAN,2021,74.84
BLORA,2021,74.51
REMBANG,2021,74.61
PATI,2021,76.27
KUDUS,2021,76.68
JEPARA,2021,75.91
DEMAK,2021,75.46
SEMARANG,2021,75.79
TEMANGGUNG,2021,75.64
KENDAL,2021,74.48
BATANG,2021,74.74
PEKALONGAN,2021,73.74
PEMALANG,2021,73.53
TEGAL,2021,71.72
BREBES,2021,69.54
KOTA MAGELANG,2021,76.93
KOTA SURAKARTA,2021,77.32
KOTA SALATIGA,2021,77.55
KOTA SEMARANG,2021,77.51
KOTA PEKALONGAN,2021,74.44
KOTA TEGAL,2021,74.54
D I YOGYAKARTA,2021,75.04
KULON PROGO,2021,75.27
BANTUL,2021,73.89
GUNUNG KIDUL,2021,74.19
SLEMAN,2021,74.92
KOTA YOGYAKARTA,2021,74.76
JAWA TIMUR,2021,71.38
PACITAN,2021,72.07
PONOROGO,2021,72.85
TRENGGALEK,2021,73.86
TULUNGAGUNG,2021,74.16
BLITAR,2021,73.61
KEDIRI,2021,72.65
MALANG,2021,72.61
LUMAJANG,2021,70.21
JEMBER,2021,69.28
BANYUWANGI,2021,70.72
BONDOWOSO,2021,66.89
SITUBONDO,2021,69.24
PROBOLINGGO,2021,67.36
PASURUAN,2021,70.25
SIDOARJO,2021,74.06
MOJOKERTO,2021,72.59
JOMBANG,2021,72.49
NGANJUK,2021,71.6
MADIUN,2021,71.5
MAGETAN,2021,72.65
NGAWI,2021,72.41
BOJONEGORO,2021,71.72
TUBAN,2021,71.56
LAMONGAN,2021,72.49
GRESIK,2021,72.67
BANGKALAN,2021,70.22
SAMPANG,2021,68.07
PAMEKASAN,2021,67.67
SUMENEP,2021,71.56
KOTA KEDIRI,2021,74.04
KOTA BLITAR,2021,73.86
KOTA MALANG,2021,73.36
KOTA PROBOLINGGO,2021,70.35
KOTA PASURUAN,2021,71.6
KOTA MOJOKERTO,2021,73.39
KOTA MADIUN,2021,72.83
KOTA SURABAYA,2021,74.18
KOTA BATU,2021,72.65
BANTEN,2021,70.02
PANDEGLANG,2021,64.79
LEBAK,2021,67.33
TANGERANG,2021,69.93
SERANG,2021,64.76
KOTA TANGERANG,2021,71.6
KOTA CILEGON,2021,66.69
KOTA SERANG,2021,68.12
KOTA TANGERANG SELATAN,2021,72.47
BALI,2021,72.24
JEMBRANA,2021,72.46
TABANAN,2021,73.75
BADUNG,2021,75.18
GIANYAR,2021,73.78
KLUNGKUNG,2021,71.41
BANGLI,2021,70.62
KARANGASEM,2021,70.56
BULELENG,2021,71.95
KOTA DENPASAR,2021,74.93
NUSA TENGGARA BARAT,2021,66.69
LOMBOK BARAT,2021,67.19
LOMBOK TENGAH,2021,66.38
LOMBOK TIMUR,2021,66.16
SUMBAWA,2021,67.73
DOMPU,2021,66.99
BIMA,2021,66.5
SUMBAWA BARAT,2021,68.31
LOMBOK UTARA,2021,67.36
KOTA MATARAM,2021,71.88
KOTA BIMA,2021,70.5
NUSA TENGGARA TIMUR,2021,67.15
SUMBA BARAT,2021,67.12
SUMBA TIMUR,2021,65.16
KUPANG,2021,64.91
TIMOR TENGAH SELATAN,2021,66.46
TIMOR TENGAH UTARA,2021,67.09
BELU,2021,64.89
ALOR,2021,61.64
LEMBATA,2021,67.2
FLORES TIMUR,2021,65.31
SIKKA,2021,67.45
